iter	Passed	Remaining
192	44963	188009
193	45224	187892
194	45453	187641
195	45649	187255
196	45836	186835
197	46005	186346
198	46225	186062
199	46394	185579
200	46594	185218
201	46764	184741
202	46967	184398
203	47152	183985
204	47357	183653
205	47521	183164
206	47714	182790
207	47894	182368
208	48086	181991
209	48257	181539
210	48466	181232
211	48632	180764
212	48833	180431
213	48992	179942
214	49178	179559
215	49349	179118
216	49533	178733
217	49700	178282
218	49889	177916
219	50055	177468
220	50258	177154
221	50450	176803
222	50642	176454
223	50820	176056
224	51012	175710
225	51172	175252
226	51355	174879
227	51517	174437
228	51705	174084
229	51862	173626
230	52053	173285
231	52220	172869
232	52413	172536
233	52580	172122
234	52773	171793
235	52941	171386
236	53131	171053
237	53294	170632
238	53487	170310
239	53653	169903
240	53876	169676
241	54076	169380
242	54308	169181
243	54513	168901
244	54846	169017
245	55012	168614
246	55318	168642
247	55536	168400
248	55729	168082
249	55929	167787
250	56085	167362
251	56297	167105
252	56464	166714
253	56681	166472
254	56861	166123
255	57062	165837
256	57259	165539
257	57431	165170
258	57629	164877
259	57784	164462
260	57987	164186
261	58156	163815
262	58351	163516
263	58522	163154
264	58719	162863
265	58890	162502
266	59180	162470
267	59382	162194
268	59793	162488
269	59985	162184
270	60267	162121
271	60531	162012
272	60718	161694
273	60969	161547
274	61222	161405
275	61407	161084
276	61704	161055
277	61944	160876
278	62145	160597
279	62431	160537
280	62627	160245
281	62820	159948
282	63080	159817
283	63323	159646
284	63526	159374
285	63732	159107
286	63895	158737
287	64106	158485
288	64264	158104
289	64523	157972
290	64862	158031
291	65059	157747
292	65387	157778
293	65601	157532
294	65956	157624
295	66137	157299
296	66452	157293
297	66628	156956
298	66939	156938
299	67162	156711
300	67518	156794
301	67758	156608
302	68048	156532
303	68301	156375
304	68509	156112
305	68730	155878
306	68932	155602
307	69132	155324
308	69293	154957
309	69514	154725
310	69677	154366
311	69880	154094
312	70054	153762
313	70274	153529
314	70436	153172
315	70644	152913
316	70807	152560
317	70995	152261
318	71160	151912
319	71348	151615
320	71508	151259
321	71693	150957
322	71860	150616
323	72049	150326
324	72213	149981
325	72390	149666
326	72549	149313
327	72735	149019
328	72902	148685
329	73084	148384
330	73252	148054
331	73440	147765
332	73593	147407
333	73784	147126
334	73941	146780
335	74133	146502
336	74316	146206
337	74503	145921
338	74666	145587
339	74878	145352
340	75038	145016
341	75261	144800
342	75438	144497
343	75628	144221
344	75798	143906
345	75987	143630
346	76147	143297
347	76339	143027
348	76505	142708
349	76693	142430
350	76845	142088
351	77048	141839
352	77203	141502
353	77387	141220
354	77555	140911
355	77753	140656
356	77908	140322
357	78114	140082
358	78278	139767
359	78472	139506
360	78632	139186
361	78816	138909
362	78966	138572
363	79159	138311
364	79315	137986
365	79498	137711
366	79659	137395
367	79853	137138
368	80024	136843
369	80214	136581
370	80395	136303
371	80580	136034
372	80743	135726
373	80930	135461
374	81096	135160
375	81280	134890
376	81446	134592
377	81634	134329
378	81802	134034
379	81999	133789
380	82168	133496
381	82359	133241
382	82508	132918
383	82697	132661
384	83070	132696
385	83227	132387
386	83419	132134
387	83571	131819
388	83771	131580
389	83947	131303
390	84145	131060
391	84312	130770
392	84554	130596
393	84722	130309
394	84927	130079
395	85096	129793
396	85290	129547
397	85425	129210
398	85624	128973
399	85788	128682
400	85985	128442
401	86155	128161
402	86359	127932
403	86515	127632
404	86709	127387
405	86889	127124
406	87097	126901
407	87265	126620
408	87457	126374
409	87626	126096
410	87819	125853
411	87998	125589
412	88192	125347
413	88350	125056
414	88553	124828
415	88707	124531
416	88899	124288
417	89058	123999
418	89249	123756
419	89409	123469
420	89601	123228
421	89754	122934
422	89967	122722
423	90125	122435
424	90315	122191
425	90471	121902
426	90656	121653
427	90822	121379
428	91028	121158
429	91197	120889
430	91392	120655
431	91563	120389
432	91757	120153
433	91923	119882
434	92127	119659
435	92292	119387
436	92483	119148
437	92645	118873
438	92853	118658
439	93024	118394
440	93220	118164
441	93392	117902
442	93580	117662
443	93735	117380
444	93923	117140
445	94089	116872
446	94285	116643
447	94443	116367
448	94656	116159
449	94847	115924
450	95044	115697
451	95193	115411
452	95374	115165
453	95545	114907
454	95761	114702
455	95928	114440
456	96119	114207
457	96282	113941
458	96473	113707
459	96633	113438
460	96809	113189
461	96972	112924
462	97174	112705
463	97334	112437
464	97537	112221
465	97689	111944
466	97867	111698
467	98034	111441
468	98236	111223
469	98393	110954
470	98581	110720
471	98743	110458
472	98933	110228
473	99089	109959
474	99263	109712
475	99422	109448
476	99601	109207
477	99760	108943
478	99952	108716
479	100104	108446
480	100298	108222
481	100457	107960
482	100647	107732
483	100806	107471
484	100999	107246
485	101161	106989
486	101357	106768
487	101528	106521
488	101728	106304
489	101890	106049
490	102107	105850
491	102268	105594
492	102458	105367
493	102619	105112
494	102816	104893
495	102983	104644
496	103165	104411
497	103329	104159
498	103521	103935
499	103700	103700
500	103878	103463
501	104037	103208
502	104221	102978
503	104385	102729
504	104584	102513
505	104745	102261
506	104934	102036
507	105094	101784
508	105286	101563
509	105439	101304
510	105622	101075
511	105793	100834
512	105975	100604
513	106140	100358
514	106333	100139
515	106495	99891
516	106690	99673
517	106853	99427
518	107044	99207
519	107212	98965
520	107436	98775
521	107596	98527
522	107784	98304
523	107945	98057
524	108139	97840
525	108303	97596
526	108495	97378
527	108654	97130
528	108859	96923
529	109024	96681
530	109210	96459
531	109376	96218
532	109561	95994
533	109724	95752
534	109908	95527
535	110076	95289
536	110264	95069
537	110436	94835
538	110627	94618
539	110786	94373
540	110976	94156
541	111147	93921
542	111352	93716
543	111528	93487
544	111728	93278
545	111918	93060
546	112141	92870
547	112305	92631
548	112496	92415
549	112662	92178
550	112861	91968
551	113023	91729
552	113208	91508
553	113371	91269
554	113574	91064
555	113737	90826
556	113934	90615
557	114093	90375
558	114291	90165
559	114458	89932
560	114656	89722
561	114821	89487
562	115012	89272
563	115178	89039
564	115373	88827
565	115535	88591
566	115730	88379
567	115889	88141
568	116088	87933
569	116272	87714
570	116479	87512
571	116660	87291
572	116890	87106
573	117090	86899
574	117310	86707
575	117513	86503
576	117791	86353
577	117989	86144
578	118197	85943
579	118396	85735
580	118587	85521
581	118759	85294
582	118962	85090
583	119135	84863
584	119339	84659
585	119498	84423
586	119711	84226
587	119887	84003
588	120108	83810
589	120266	83575
590	120465	83367
591	120620	83130
592	120816	82921
593	120978	82688
594	121191	82491
595	121360	82264
596	121564	82061
597	121795	81875
598	122019	81685
599	122259	81506
600	122523	81342
601	122749	81153
602	122983	80969
603	123251	80807
604	123433	80588
605	123758	80463
606	124109	80354
607	124424	80220
608	124795	80123
609	125316	80120
610	125654	79999
611	126087	79937
612	126271	79718
613	126621	79602
614	127012	79511
615	127337	79379
616	127714	79278
617	128076	79167
618	128413	79039
619	128734	78901
620	129090	78784
621	129431	78657
622	129762	78523
623	130050	78363
624	130265	78159
625	130483	77956
626	130715	77762
627	130923	77553
628	131126	77341
629	131335	77133
630	131505	76902
631	131719	76697
632	131911	76479
633	132113	76267
634	132305	76049
635	132526	75848
636	132745	75646
637	132962	75442
638	133165	75230
639	133388	75031
640	133574	74810
641	133789	74605
642	133962	74377
643	134175	74171
644	134392	73968
645	134611	73765
646	134807	73550
647	135051	73361
648	135252	73148
649	135450	72934
650	135645	72719
651	135848	72508
652	136053	72298
653	136270	72094
654	136462	71877
655	136691	71679
656	136885	71463
657	137089	71252
658	137303	71047
659	137522	70845
660	137724	70633
661	137936	70426
662	138121	70206
663	138343	70005
664	138695	69869
665	139070	69744
666	139419	69605
667	139781	69472
668	139992	69264
669	140237	69072
670	140482	68880
671	140964	68804
672	141549	68776
673	141926	68647
674	142517	68619
675	143140	68606
676	144027	68716
677	144470	68612
678	144961	68531
679	145485	68463
680	145995	68388
681	146412	68268
682	146716	68095
683	146943	67886
684	147229	67704
685	147456	67494
686	148146	67496
687	148523	67353
688	148859	67192
689	149076	66976
690	149385	66801
691	149608	66588
692	149874	66394
693	150312	66276
694	150543	66066
695	150811	65871
696	151060	65669
697	151305	65464
698	151551	65260
699	151816	65064
700	152055	64856
701	152350	64673
702	152614	64475
703	152848	64265
704	153060	64046
705	153411	63885
706	153653	63678
707	153964	63499
708	154124	63258
709	154331	63036
710	154514	62805
711	154839	62631
712	155081	62423
713	155311	62211
714	155677	62053
715	155851	61818
716	156109	61616
717	156278	61379
718	156513	61168
719	156717	60945
720	156937	60729
721	157360	60590
722	157559	60365
723	157786	60150
724	158042	59947
725	158335	59757
726	158548	59537
727	158757	59316
728	158967	59094
729	159184	58876
730	159440	58672
731	159720	58477
732	159952	58263
733	160205	58058
734	160446	57848
735	160657	57627
736	160925	57426
737	161200	57228
738	161469	57027
739	161724	56822
740	162032	56634
741	162288	56428
742	162744	56292
743	163015	56091
744	163243	55875
745	163484	55663
746	163721	55450
747	163998	55250
748	164213	55030
749	164421	54807
750	164690	54604
751	164883	54376
752	165147	54172
753	165435	53974
754	165665	53759
755	166072	53600
756	166423	53422
757	166868	53274
758	167309	53124
759	167685	52953
760	168244	52838
761	168658	52678
762	169028	52503
763	169464	52347
764	169850	52176
765	170173	51984
766	170437	51775
767	170825	51603
768	171123	51403
769	171652	51272
770	171973	51079
771	172288	50883
772	172618	50691
773	173046	50527
774	173326	50320
775	173929	50206
776	174293	50022
777	174649	49835
778	174875	49611
779	175237	49426
780	175553	49226
781	175750	48994
782	175966	48767
783	176140	48528
784	176344	48298
785	176528	48062
786	176746	47836
787	176922	47598
788	177122	47367
789	177289	47127
790	177504	46900
791	177702	46669
792	177917	46442
793	178096	46206
794	178313	45980
795	178478	45740
796	178680	45510
797	178848	45272
798	179088	45052
799	179268	44817
800	179475	44588
801	179680	44360
802	179903	44135
803	180108	43907
804	180420	43704
805	180625	43475
806	180835	43248
807	181086	43030
808	181285	42800
809	181597	42596
810	182094	42436
811	182458	42244
812	182710	42025
813	183000	41815
814	183222	41590
815	183463	41369
816	183693	41145
817	183973	40933
818	184194	40707
819	184435	40485
820	184661	40261
821	184890	40037
822	185158	39821
823	185358	39591
824	185563	39361
825	185755	39130
826	185998	38908
827	186201	38679
828	186416	38452
829	186608	38221
830	186927	38015
831	187281	37816
832	187505	37591
833	187761	37372
834	187969	37143
835	188216	36922
836	188483	36705
837	188689	36477
838	188915	36251
839	189178	36033
840	189425	35812
841	189663	35590
842	189897	35366
843	190140	35144
844	190667	34974
845	190865	34743
846	191083	34516
847	191266	34283
848	191615	34079
849	192032	33888
850	192502	33704
851	192815	33493
852	193050	33269
853	193424	33067
854	193713	32852
855	194000	32635
856	194240	32411
857	194512	32192
858	194725	31963
859	194917	31730
860	195150	31505
861	195494	31297
862	195762	31076
863	196132	30872
864	196358	30645
865	196674	30432
866	196870	30200
867	197076	29970
868	197271	29738
869	197559	29520
870	197808	29296
871	198371	29118
872	198772	28916
873	199054	28696
874	199261	28465
875	199477	28236
876	199697	28007
877	200246	27824
878	200524	27603
879	200756	27375
880	200993	27148
881	201278	26928
882	201480	26696
883	201742	26472
884	201963	26243
885	202232	26020
886	202481	25795
887	202697	25565
888	203035	25350
889	203249	25120
890	203619	24909
891	204058	24706
892	204391	24490
893	204568	24255
894	204799	24026
895	204990	23793
896	205222	23565
897	205392	23329
898	205591	23097
899	205771	22863
900	205973	22631
901	206198	22402
902	206408	22172
903	206655	21945
904	206845	21713
905	207057	21482
906	207262	21251
907	207629	21037
908	207877	20810
909	208107	20582
910	208341	20353
911	208559	20124
912	208764	19893
913	209029	19667
914	209256	19439
915	209483	19210
916	209727	18982
917	209958	18754
918	210177	18524
919	210401	18295
920	210629	18066
921	210859	17838
922	211076	17608
923	211302	17379
924	211551	17152
925	211789	16924
926	212016	16695
927	212221	16465
928	212425	16234
929	212594	16001
930	212813	15772
931	212988	15539
932	213202	15310
933	213403	15079
934	213665	14853
935	213944	14628
936	214213	14402
937	214415	14172
938	214663	13945
939	214884	13716
940	215113	13487
941	215318	13257
942	215555	13029
943	215763	12799
944	215968	12569
945	216168	12339
946	216383	12110
947	216597	11880
948	216806	11651
949	217000	11421
950	217201	11191
951	217379	10960
952	217581	10730
953	217752	10499
954	217960	10270
955	218125	10039
956	218326	9809
957	218483	9578
958	218709	9350
959	218880	9120
960	219072	8890
961	219241	8660
962	219443	8431
963	219626	8201
964	219811	7972
965	219982	7742
966	220172	7513
967	220334	7283
968	220520	7054
969	220689	6825
970	220878	6596
971	221048	6367
972	221259	6139
973	221427	5910
974	221630	5682
975	221785	5453
976	221985	5225
977	222152	4997
978	222357	4769
979	222523	4541
980	222734	4313
981	222895	4085
982	223108	3858
983	223283	3630
984	223481	3403
985	223647	3175
986	223909	2949
987	224160	2722
988	224472	2496
989	224767	2270
990	224977	2043
991	225252	1816
992	225454	1589
993	225662	1362
994	225892	1135
995	226111	908
996	226324	681
997	226541	453
998	226763	226
999	227017	0
